Hugo_Symbol	Chromosome
POLR1A	chr2
POLR2B	chr4
POM121C	chr7
POMGNT1	chr1
POMT1	chr9
PON3	chr7
POP1	chr8
POT1	chr7
POTED	chr21
PPIAL4G	chr1
PPIL4	chr6
PPIL6	chr6
PPL	chr16
PPM1H	chr12
PPM1J	chr1
PPP1R16B	chr20
PPP1R42	chr8
PPP2R2B	chr5
PPP2R3A	chr3
PPP3CA	chr4
PPP4R1	chr18
PPP6R1	chr19
PRAME	chr22
PRAMEF17	chr1
PRDM1	chr6
PRDM10	chr11
PRDM5	chr4
PRF1	chr10
PRICKLE2	chr3
PRKCA	chr17
PRKD3	chr2
PRKRIR	chr11
PRMT3	chr11
PRMT8	chr12
PRODH	chr22
PROKR2	chr20
PRPF3	chr1
PRPF38A	chr1
PRPF38B	chr1
PRPF4B	chr6
PRPSAP2	chr17
PRR12	chr19
PRRT2	chr16
PRSS16	chr6
PRSS35	chr6
PSG1	chr19
PSG5	chr19
PSMB5	chr14
PSMD1	chr2
PSMD12	chr17
PSMD2	chr3
PTCH2	chr1
PTGDR	chr14
PTOV1	chr19
PTPDC1	chr9
PTPN21	chr14
PTPRC	chr1
PTPRE	chr10
PTPRF	chr1
PTPRJ	chr11
PTPRU	chr1
PUF60	chr8
PVRL3	chr3
PYHIN1	chr1
QRICH1	chr3
R3HCC1L	chr10
RAB3B	chr1
RAB3GAP1	chr2
RAB44	chr6
RABEP1	chr17
RABEPK	chr9
RAD51	chr15
RAD54L2	chr3
RAG2	chr11
RAI2	chrX
RALBP1	chr18
RALY	chr20
RALYL	chr8
RANGAP1	chr22
RAPGEF1	chr9
RAPGEF2	chr4
RAPGEF3	chr12
RAPGEF6	chr5
RASAL2	chr1
RASAL3	chr19
RASGEF1A	chr10
RASL11A	chr13
RAVER1	chr19
RBBP8	chr18
RBM20	chr10
RBM28	chr7
RBM5	chr3
RBMX	chrX
RDX	chr11
REG1B	chr2
RELA	chr11
RERE	chr1
RET	chr10
RETSAT	chr2
RFPL4A	chr19
RFPL4AL1	chr19
RFTN2	chr2
RFX1	chr19
RFX7	chr15
RGAG1	chrX
RGL1	chr1
RGPD3	chr2
RGPD4	chr2
RGS3	chr9
RGSL1	chr1
RIMBP3	chr22
RLF	chr1
RLIM	chrX
RNF103	chr2
RNF112	chr17
RNF126	chr19
RNF13	chr3
RNF146	chr6
RNF157	chr17
RNF20	chr9
RNF34	chr12
RP11-108K14.8	chr10
RP11-407N17.3	chr14
RP11-793H13.10	chr12
RPAP1	chr15
RPH3A	chr12
RPL10L	chr14
RPL4	chr15
RPS6KL1	chr14
RRAGD	chr6
RRM1	chr11
RRP12	chr10
RSBN1L	chr7
RSPH1	chr21
RSPRY1	chr16
RTEL1	chr20
RUNX2	chr6
RUNX3	chr1
SAMD4A	chr14
SAMHD1	chr20
SARM1	chr17
SATB2	chr2
SBK2	chr19
SBNO1	chr12
SCAF4	chr21
SCAND3	chr6
SCIN	chr7
SCO2	chr22
SCUBE3	chr6
SDHA	chr5
SDSL	chr12
SEC14L5	chr16
SEC24C	chr10
SEC31A	chr4
SEC62	chr3
SECISBP2	chr9
SECISBP2L	chr15
SEL1L3	chr4
SEMA3C	chr7
SEMA3F	chr3
SEMA4G	chr10
SEMA6B	chr19
SENP2	chr3
SEPP1	chr5
SEPT12	chr16
SEPT14	chr7
SERAC1	chr6
SERPINA3	chr14
SERPINE3	chr13
SESN3	chr11
SETDB1	chr1
SEZ6L2	chr16
SFMBT2	chr10
SFRP4	chr7
SFSWAP	chr12
SFXN2	chr10
SGCD	chr5
SGIP1	chr1
SGK1	chr6
SGK494	chr17
SGMS1	chr10
SGMS2	chr4
SH2B3	chr12
SH3KBP1	chrX
SH3TC1	chr4
SHANK3	chr22
SHB	chr9
SHC4	chr15
SHF	chr15
SHOX2	chr3
SHROOM1	chr5
SIAE	chr11
SIGLEC7	chr19
SIGLEC8	chr19
SIMC1	chr5
SIRPA	chr20
SKI	chr1
SLC13A1	chr7
SLC15A2	chr3
SLC16A7	chr12
SLC17A4	chr6
SLC17A6	chr11
SLC17A8	chr12
SLC18A2	chr10
SLC1A5	chr19
SLC22A10	chr11
SLC22A7	chr6
SLC23A2	chr20
SLC24A3	chr20
SLC24A5	chr15
SLC25A24	chr1
SLC25A35	chr17
SLC27A5	chr19
SLC36A3	chr5
SLC38A11	chr2
SLC39A4	chr8
SLC39A6	chr18
SLC43A2	chr17
SLC44A5	chr1
SLC46A3	chr13
SLC4A7	chr3
SLC4A8	chr12
SLC52A3	chr20
SLC5A9	chr1
SLC6A5	chr11
SLC7A1	chr13
SLC7A6	chr16
SLC9A1	chr1
SLC9A3R1	chr17
SLCO1A2	chr12
SLFN14	chr17
SLFN5	chr17
SLIT3	chr5
SLITRK2	chrX
SLK	chr10
SMAD2	chr18
SMAD4	chr18
SMARCD1	chr12
SMC3	chr10
SMC6	chr2
SMOC1	chr14
SMPD1	chr11
SMTN	chr22
SND1	chr7
SNF8	chr17
SNPH	chr20
SNRNP200	chr2
SNTA1	chr20
SNTG1	chr8
SNTG2	chr2
SNW1	chr14
SNX1	chr15
SNX18	chr5
SNX27	chr1
SNX33	chr15
SOCS4	chr14
SORBS1	chr10
SORT1	chr1
SOX13	chr1
SOX6	chr11
SP4	chr7
SPACA1	chr6
SPAG6	chr10
SPATA6	chr1
SPATC1	chr8
SPN	chr16
SPOCD1	chr1
SPOPL	chr2
SPPL2A	chr15
SPRTN	chr1
SPTBN2	chr11
SPTY2D1	chr11
SREBF2	chr22
SRRD	chr22
SSC5D	chr19
SSH2	chr17
SSUH2	chr3
ST3GAL3	chr1
ST6GALNAC1	chr17
ST7	chr7
ST8SIA4	chr5
STAB1	chr3
STAC	chr3
STARD13	chr13
STAT2	chr12
STIM1	chr11
STOX2	chr4
STRA13	chr17
STRAP	chr12
STX7	chr6
STXBP4	chr17
STXBP5	chr6
SUV420H1	chr11
SV2C	chr5
SVEP1	chr9
SYNJ2	chr6
SYT17	chr16
SYT3	chr19
SYTL1	chr1
TACC2	chr10
TAF11	chr6
TAF1A	chr1
TAF1B	chr2
TAF4B	chr18
TAF7L	chrX
TAGAP	chr6
TANGO2	chr22
TANGO6	chr16
TARDBP	chr1
TAS1R1	chr1
TAS2R1	chr5
TAS2R16	chr7
TAS2R8	chr12
TBC1D4	chr13
TBP	chr6
TBX1	chr22
TBX3	chr12
TBX5	chr12
TC2N	chr14
TCAIM	chr3
TCERG1	chr5
TCERG1L	chr10
TCHP	chr12
TCN1	chr11
TDRD1	chr10
TEK	chr9
TEKT4	chr2
TEKT5	chr16
TENM3	chr4
TEP1	chr14
TEPP	chr16
TEX11	chrX
TEX14	chr17
TEX2	chr17
TFPI2	chr7
TGFB2	chr1
TGFBRAP1	chr2
THBD	chr20
THOC5	chr22
THRAP3	chr1
THSD1	chr13
TICAM1	chr19
TIE1	chr1
TIMD4	chr5
TJP2	chr9
TLK1	chr2
TLR10	chr4
TLR5	chr1
TLR6	chr4
TM4SF18	chr3
TM9SF1	chr14
TM9SF4	chr20
TMC1	chr9
TMC2	chr20
TMC4	chr19
TMC8	chr17
TMEFF1	chr9
TMEM130	chr7
TMEM135	chr11
TMEM151A	chr11
TMEM163	chr2
TMEM200B	chr1
TMEM201	chr1
TMEM215	chr9
TMEM30B	chr14
TMEM33	chr4
TMEM41B	chr11
TMEM63C	chr14
TMIE	chr3
TMPO	chr12
TMPRSS2	chr21
TMPRSS4	chr11
TMPRSS6	chr22
TNK2	chr3
TNKS2	chr10
TNRC18	chr7
TNS4	chr17
TOE1	chr1
TOP1MT	chr8
TOP3B	chr22
TOR1B	chr9
TOX	chr8
TP53I3	chr2
TP73	chr1
TRA2A	chr7
TRABD2A	chr2
TRAF3	chr14
TRAF5	chr1
TRAP1	chr16
TRAPPC10	chr21
TRERF1	chr6
TRIM32	chr9
TRIM37	chr17
TRIM42	chr3
TRIM49C	chr11
TRIM55	chr8
TRIM56	chr7
TRIM66	chr11
TRIM67	chr1
TRIM8	chr10
TRIML1	chr4
TRIML2	chr4
TRIP10	chr19
TRIP13	chr5
TRMT1	chr19
TRPC1	chr3
TRPC5	chrX
TRPM4	chr19
TRPM7	chr15
TRPV4	chr12
TSC22D2	chr3
TSEN2	chr3
TSPAN32	chr11
TSPEAR	chr21
TSPYL5	chr8
TTBK1	chr6
TTC12	chr11
TTC14	chr3
TTC21A	chr3
TTC23L	chr5
TTC37	chr5
TTC39A	chr1
TTC7B	chr14
TTLL6	chr17
TTYH3	chr7
TUBB2B	chr6
TUBG2	chr17
TUBGCP2	chr10
TYRO3	chr15
UBASH3A	chr21
UBBP4	chr17
UBE2O	chr17
UBE3D	chr6
UBE4B	chr1
UBQLN2	chrX
UBQLN3	chr11
UBXN6	chr19
UGT1A1	chr2
UGT2B11	chr4
UGT3A1	chr5
UMOD	chr16
UMODL1	chr21
UMPS	chr3
UNC45B	chr17
UNK	chr17
UPF3B	chrX
UPP1	chr7
UPP2	chr2
UROD	chr1
USB1	chr16
USP10	chr16
USP12	chr13
USP25	chr21
USP32	chr17
USP36	chr17
USP40	chr2
USP43	chr17
USP48	chr1
USP53	chr4
VAX2	chr2
VEZF1	chr17
VGLL1	chrX
VIM	chr10
VIPR1	chr3
VIT	chr2
VLDLR	chr9
VMO1	chr17
VMP1	chr17
VNN1	chr6
VPS16	chr20
VPS33B	chr15
VPS37D	chr7
VPS39	chr15
VPS45	chr1
VSIG1	chrX
VWA9	chr15
VWC2L	chr2
VWCE	chr11
WAC	chr10
WAPAL	chr10
WARS	chr14
WASL	chr7
WDR16	chr17
WDR25	chr14
WDR26	chr1
WDR47	chr1
WDR49	chr3
WDR60	chr7
WDR64	chr1
WDR70	chr5
WDR78	chr1
WDR81	chr17
WDR89	chr14
WDR96	chr10
WDTC1	chr1
WEE2	chr7
WFDC8	chr20
WFS1	chr4
WHSC1	chr4
WHSC1L1	chr8
WNT2	chr7
WNT7B	chr22
WSCD2	chr12
WWC2	chr4
WWOX	chr16
XK	chrX
XPNPEP1	chr10
XPR1	chr1
XRRA1	chr11
XYLB	chr3
YIPF7	chr4
ZBED6	chr1
ZBTB1	chr14
ZBTB26	chr9
ZBTB38	chr3
ZBTB7A	chr19
ZC3H12C	chr11
ZC3HC1	chr7
ZCCHC11	chr1
ZCCHC14	chr16
ZDHHC4	chr7
ZDHHC8	chr22
ZER1	chr9
ZFR2	chr19
ZFYVE1	chr14
ZIC1	chr3
ZIK1	chr19
ZKSCAN3	chr6
ZMYM1	chr1
ZMYM2	chr13
ZNF10	chr12
ZNF100	chr19
ZNF107	chr7
ZNF135	chr19
ZNF136	chr19
ZNF14	chr19
ZNF142	chr2
ZNF143	chr11
ZNF155	chr19
ZNF165	chr6
ZNF180	chr19
ZNF211	chr19
ZNF212	chr7
ZNF217	chr20
ZNF22	chr10
ZNF250	chr8
ZNF251	chr8
ZNF256	chr19
ZNF276	chr16
ZNF3	chr7
ZNF302	chr19
ZNF334	chr20
ZNF343	chr20
ZNF366	chr5
ZNF398	chr7
ZNF419	chr19
ZNF431	chr19
ZNF439	chr19
ZNF440	chr19
ZNF441	chr19
ZNF484	chr9
ZNF486	chr19
ZNF496	chr1
ZNF516	chr18
ZNF518B	chr4
ZNF529	chr19
ZNF549	chr19
ZNF554	chr19
ZNF569	chr19
ZNF570	chr19
ZNF577	chr19
ZNF578	chr19
ZNF584	chr19
ZNF587	chr19
ZNF592	chr15
ZNF597	chr16
ZNF598	chr16
ZNF606	chr19
ZNF607	chr19
ZNF608	chr5
ZNF610	chr19
ZNF613	chr19
ZNF646	chr16
ZNF658	chr9
ZNF684	chr1
ZNF69	chr19
ZNF695	chr1
ZNF703	chr8
ZNF71	chr19
ZNF716	chr7
ZNF721	chr4
ZNF724P	chr19
ZNF746	chr7
ZNF77	chr19
ZNF800	chr7
ZNF81	chrX
ZNF830	chr17
ZNF837	chr19
ZNF839	chr14
ZNF841	chr19
ZNF880	chr19
ZNF92	chr7
ZP4	chr1
ZPBP	chr7
ZPBP2	chr17
ZPLD1	chr3
ZRANB1	chr10
ZSCAN10	chr16
ZSCAN29	chr15
ZSCAN32	chr16
ZSCAN4	chr19
ZSWIM5	chr1
ZSWIM6	chr5
ZUFSP	chr6
ZWINT	chr10
ZXDC	chr3
A2ML1	chr12
A4GNT	chr3
AADACL2	chr3
AAGAB	chr15
AAR2	chr20
ABCA9	chr17
ABCB10	chr1
ABCB9	chr12
ABCC2	chr10
ABCD2	chr12
ABCF3	chr3
ABHD16B	chr20
ABHD17C	chr15
ABHD2	chr15
ABI2	chr2
ABL1	chr9
ABRA	chr8
AC007431.1	chr17
AC008132.1	chr22
AC074389.6	chr7
AC092850.1	chr12
AC096582.1	chr7
AC139768.1	chr12
ACAD11	chr3
ACAD8	chr11
ACADL	chr2
ACBD7	chr10
ACCSL	chr11
ACE	chr17
ACER1	chr19
ACIN1	chr14
ACOT8	chr20
ACSBG1	chr15
ACSBG2	chr19
ACSL3	chr2
ACSL5	chr10
ACSM1	chr16
ACTB	chr7
ACTL6A	chr3
ACTL7B	chr9
ACTR3B	chr7
ACTR5	chr20
ACVR1B	chr12
ACVR2B	chr3
ADAM10	chr15
ADAM19	chr5
ADAM21	chr14
ADAM28	chr8
ADAM7	chr8
ADAM8	chr10
ADAMTS15	chr11
ADAR	chr1
ADCK5	chr8
ADCY5	chr3
ADCY9	chr16
ADD3	chr10
ADHFE1	chr8
ADNP	chr20
ADPRH	chr3
ADRB1	chr10
AEBP1	chr7
AFG3L2	chr18
AGFG2	chr7
AGO4	chr1
AGPAT9	chr4
AGT	chr1
AGTR2	chrX
AGXT2	chr5
AHCYL2	chr7
AHI1	chr6
AHR	chr7
AHSG	chr3
AIM1L	chr1
AIM2	chr1
AIPL1	chr17
AK2	chr1
AK7	chr14
AKAP12	chr6
AKAP7	chr6
AKR7A2	chr1
AL133481.1	chr10
AL355149.2	chr1
ALAS1	chr3
ALAS2	chrX
ALDH18A1	chr10
ALDH3A1	chr17
ALDH9A1	chr1
ALG10B	chr12
ALG11	chr13
ALG12	chr22
ALG6	chr1
ALK	chr2
ALOX12B	chr17
ALOX15B	chr17
ALOXE3	chr17
ALPK1	chr4
ALS2	chr2
ALX1	chr12
AMDHD1	chr12
AMHR2	chr12
AMIGO1	chr1
AMIGO2	chr12
AMPD3	chr11
AMY1C	chr1
AMZ2	chr17
ANAPC4	chr4
ANKIB1	chr7
ANKRD13B	chr17
ANKRD16	chr10
ANKRD20A1	chr9
ANKRD30BL	chr2
ANKRD34B	chr5
ANKRD35	chr1
ANKRD40	chr17
ANKRD42	chr11
ANKRD44	chr2
ANKRD52	chr12
ANKRD9	chr14
ANKS1A	chr6
ANO7	chr2
ANP32A	chr15
ANP32E	chr1
ANXA11	chr10
AOC1	chr7
AP000275.65	chr21
AP003068.6	chr11
AP1G1	chr16
AP1S2	chrX
AP2A1	chr19
AP2B1	chr17
AP3D1	chr19
APBA1	chr9
APBA2	chr15
APBB1IP	chr10
APBB2	chr4
APCDD1L	chr20
APCS	chr1
APEX1	chr14
APLNR	chr11
APOA1	chr11
APOA1BP	chr1
APOL1	chr22
APPBP2	chr17
APRT	chr16
AQP10	chr1
AQP2	chr12
ARAP3	chr5
ARCN1	chr11
AREL1	chr14
ARFIP2	chr11
ARHGAP19	chr10
ARHGAP25	chr2
ARHGAP28	chr18
ARHGAP32	chr11
ARHGAP40	chr20
ARHGAP6	chrX
ARHGAP9	chr12
ARHGEF12	chr11
ARHGEF2	chr1
ARHGEF26	chr3
ARHGEF33	chr2
ARHGEF38	chr4
ARID4B	chr1
ARID5A	chr2
ARL13B	chr3
ARL2BP	chr16
ARMC1	chr8
ARMC12	chr6
ARMC5	chr16
ARMC6	chr19
ARMC9	chr2
ARMCX1	chrX
ARMCX5	chrX
ARSF	chrX
ARSG	chr17
ARSH	chrX
ARSI	chr5
ART4	chr12
ARV1	chr1
ASAP3	chr1
ASB12	chrX
ASB4	chr7
ASB6	chr9
ASIC2	chr17
ASIC4	chr2
ASPG	chr14
ASPN	chr9
ASS1	chr9
ATCAY	chr19
ATE1	chr10
ATF1	chr12
ATF2	chr2
ATG4A	chrX
ATIC	chr2
ATL2	chr2
ATP13A1	chr19
ATP1A1	chr1
ATP1A2	chr1
ATP1B1	chr1
ATP2B3	chrX
ATP2B4	chr1
ATP6AP1	chrX
ATP6AP2	chrX
ATP6V0A2	chr12
ATP6V1B2	chr8
ATRN	chr20
ATXN2	chr12
ATXN2L	chr16
ATXN3	chr14
ATXN7L2	chr1
ATXN7L3	chr17
ATXN7L3B	chr12
AWAT1	chrX
AWAT2	chrX
AXIN1	chr16
AXL	chr19
AZGP1	chr7
B3GAT1	chr11
B3GNT6	chr11
B4GALNT1	chr12
B4GALT6	chr18
BACE2	chr21
BACH2	chr6
BAG5	chr14
BAG6	chr6
BAI1	chr8
BAIAP2L1	chr7
BANP	chr16
BARHL2	chr1
BAX	chr19
BBS10	chr12
BBS12	chr4
BBS7	chr4
BCAM	chr19
BCAR3	chr1
BCKDHA	chr19
BCL2L14	chr12
BCL2L2-PABPN1	chr14
BCMO1	chr16
BDKRB1	chr14
BEND3	chr6
BEND4	chr4
BEST4	chr1
BEX5	chrX
BFSP1	chr20
BHLHA9	chr17
BHLHB9	chrX
BHLHE22	chr8
BIN1	chr2
BIN2	chr12
BIRC3	chr11
BMI1	chr10
BMP1	chr8
BMP10	chr2
BMP2K	chr4
BMPR1B	chr4
BMS1	chr10
BPI	chr20
BPIFA1	chr20
BPIFB2	chr20
BPIFB4	chr20
BRD1	chr22
BRF1	chr14
BROX	chr1
BRSK1	chr19
BSND	chr1
BTBD1	chr15
BTBD10	chr11
BTBD2	chr19
BTBD8	chr1
BTBD9	chr6
BTK	chrX
BTN1A1	chr6
BTN3A2	chr6
BTN3A3	chr6
C10orf118	chr10
C10orf54	chr10
C10orf76	chr10
C10orf88	chr10
C10orf90	chr10
C11orf49	chr11
C11orf63	chr11
C11orf88	chr11
C12orf44	chr12
C14orf142	chr14
C14orf180	chr14
C14orf39	chr14
C14orf64	chr14
C15orf26	chr15
C15orf40	chr15
C15orf59	chr15
C16orf46	chr16
C16orf59	chr16
C16orf62	chr16
C16orf78	chr16
C17orf105	chr17
C17orf75	chr17
C17orf80	chr17
C18orf21	chr18
C18orf63	chr18
C19orf45	chr19
C19orf57	chr19
C19orf68	chr19
C1GALT1C1	chrX
C1orf105	chr1
C1orf112	chr1
C1orf168	chr1
C1orf170	chr1
C1orf185	chr1
C1orf27	chr1
C1orf65	chr1
C1QTNF2	chr5
C1QTNF9	chr13
C1QTNF9B	chr13
C2CD5	chr12
C2orf42	chr2
C2orf49	chr2
C2orf73	chr2
C2orf81	chr2
C3orf27	chr3
C3orf33	chr3
C4BPA	chr1
C4orf22	chr4
C4orf27	chr4
C4orf48	chr4
C5	chr9
C5orf17	chr5
C5orf30	chr5
C5orf63	chr5
C6orf163	chr6
C6orf211	chr6
C6orf89	chr6
C7orf25	chr7
C7orf31	chr7
C7orf43	chr7
C7orf61	chr7
C7orf66	chr7
C7orf72	chr7
C8B	chr1
C8orf46	chr8
C8orf48	chr8
C8orf82	chr8
C9orf135	chr9
C9orf152	chr9
C9orf156	chr9
CA10	chr17
CA12	chr15
CA4	chr17
CA5A	chr16
CA8	chr8
CAAP1	chr9
CAB39L	chr13
CABLES1	chr18
CABP4	chr11
CABYR	chr18
CACNA2D2	chr3
CACNA2D4	chr12
CACNG1	chr17
CACNG5	chr17
CACNG7	chr19
CADM1	chr11
CADM2	chr3
CALCR	chr7
CALCRL	chr2
CALD1	chr7
CALM2	chr2
CALN1	chr7
CALR	chr19
CAPN13	chr2
CAPNS2	chr16
CAPRIN1	chr11
CAPS2	chr12
CAPZA3	chr12
CARD10	chr22
CARD14	chr17
CARHSP1	chr16
CARKD	chr13
CARS	chr11
CARS2	chr13
CASKIN2	chr17
CASP2	chr7
CASP5	chr11
CATSPER2	chr15
CATSPERG	chr19
CBLN2	chr18
CBR4	chr4
CBX1	chr17
CC2D1A	chr19
CC2D1B	chr1
CC2D2A	chr4
CCBL2	chr1
CCDC105	chr19
CCDC11	chr18
CCDC110	chr4
CCDC114	chr19
CCDC115	chr2
CCDC12	chr3
CCDC13	chr3
CCDC132	chr7
CCDC134	chr22
CCDC135	chr16
CCDC146	chr7
CCDC148	chr2
CCDC15	chr11
CCDC153	chr11
CCDC163P	chr1
CCDC17	chr1
CCDC173	chr2
CCDC176	chr14
CCDC19	chr1
CCDC22	chrX
CCDC36	chr3
CCDC57	chr17
CCDC58	chr3
CCDC59	chr12
CCDC66	chr3
CCDC74B	chr2
CCDC81	chr11
CCDC82	chr11
CCDC84	chr11
CCDC85A	chr2
CCDC89	chr11
CCER1	chr12
CCHCR1	chr6
CCL18	chr17
CCM2	chr7
CCNA1	chr13
CCNA2	chr4
CCNE1	chr19
CCNJ	chr10
CCNJL	chr5
CCNK	chr14
CCNY	chr10
CCR3	chr3
CCR6	chr6
CCR8	chr3
CCS	chr11
CCT2	chr12
CCT3	chr1
CCT4	chr2
CCT5	chr5
CCT8	chr21
CD19	chr16
CD1B	chr1
CD1D	chr1
CD200	chr3
CD209	chr19
CD226	chr18
CD300E	chr17
CD300LB	chr17
CD300LG	chr17
CD40LG	chrX
CD53	chr1
CD86	chr3
CDC123	chr10
CDC20	chr1
CDC37L1	chr9
CDC45	chr22
CDC7	chr1
CDCA7L	chr7
CDH13	chr16
CDH18	chr5
CDH24	chr14
CDH5	chr16
CDHR1	chr10
CDHR5	chr11
CDK11A	chr1
CDK11B	chr1
CDK5RAP3	chr17
CDK8	chr13
CDKL4	chr2
CDKN2AIP	chr4
CDRT1	chr17
CDS2	chr20
CEACAM21	chr19
CEACAM8	chr19
CECR2	chr22
CELA3A	chr1
CELF2	chr10
CELF3	chr1
CELF6	chr15
CENPB	chr20
CENPC	chr4
CENPI	chrX
CENPT	chr16
CEP104	chr1
CEP112	chr17
CEP128	chr14
CEP250	chr20
CEP57L1	chr6
CERKL	chr2
CERS3	chr15
CERS4	chr19
CERS6	chr2
CES1	chr16
CES4A	chr16
CETP	chr16
CFB	chr6
CFDP1	chr16
CFHR2	chr1
CFHR3	chr1
CFI	chr4
CGN	chr1
CH17-132F21.1	chr2
CHCHD6	chr3
CHD3	chr17
CHML	chr1
CHMP1A	chr16
CHN1	chr2
CHPT1	chr12
CHRDL1	chrX
CHRDL2	chr11
CHRM1	chr11
CHRM3	chr1
CHRNA4	chr20
CHRNA9	chr4
CHRNB4	chr15
CHST14	chr15
CHST2	chr3
CHST8	chr19
CHST9	chr18
CHTOP	chr1
CIAO1	chr2
CITED1	chrX
CKAP4	chr12
CKMT2	chr5
CLCC1	chr1
CLCN1	chr7
CLCN5	chrX
CLCNKB	chr1
CLDN16	chr3
CLEC10A	chr17
CLEC17A	chr19
CLEC1A	chr12
CLEC2A	chr12
CLEC3A	chr16
CLEC4D	chr12
CLEC9A	chr12
CLINT1	chr5
CLK1	chr2
CLP1	chr11
CLPTM1	chr19
CLSTN3	chr12
CLTB	chr5
CLUL1	chr18
CMAS	chr12
CMKLR1	chr12
CMPK2	chr2
CNDP1	chr18
CNDP2	chr18
CNGB1	chr16
CNKSR1	chr1
CNKSR3	chr6
CNNM2	chr10
CNOT6	chr5
CNPY3	chr6
CNTD2	chr19
CNTF	chr11
CNTLN	chr9
CNTN1	chr12
CNTNAP3	chr9
COG1	chr17
COIL	chr17
COLEC10	chr8
COMMD1	chr2
COMT	chr22
COPG1	chr3
COPRS	chr17
COQ3	chr6
COQ9	chr16
CORO1C	chr12
CORO6	chr17
CORO7	chr16
CPA3	chr3
CPB2	chr13
CPD	chr17
CPEB2	chr4
CPED1	chr7
CPNE8	chr12
CPNE9	chr3
CPO	chr2
CPOX	chr3
CPQ	chr8
CPSF3	chr2
CPT1B	chr22
CPXM1	chr20
CPXM2	chr10
CRAT	chr9
CREB3L1	chr11
CRHR2	chr7
CRNN	chr1
CRTC3	chr15
CRX	chr19
CRY1	chr12
CS	chr12
CSDE1	chr1
CSE1L	chr20
CSF1R	chr5
CSF2RB	chr22
CSF3R	chr1
CSGALNACT2	chr10
CSH1	chr17
CSK	chr15
CSNK1G2	chr19
CST11	chr20
CST8	chr20
CTAGE1	chr18
CTAGE15	chr7
CTAGE4	chr7
CTAGE6	chr7
CTD-2054N24.2	chr15
CTD-2162K18.4	chr19
CTD-3074O7.11	chr11
CTD-3088G3.8	chr16
CTD-3203P2.2	chr16
CTGF	chr6
CTHRC1	chr8
CTPS1	chr1
CTRC	chr1
CTSC	chr11
CTSE	chr1
CTSS	chr1
CTU1	chr19
CUEDC1	chr17
CUL4B	chrX
CUL5	chr11
CUL7	chr6
CWC22	chr2
CWF19L2	chr11
CWH43	chr4
CX3CR1	chr3
CXCR1	chr2
CXCR2	chr2
CXorf23	chrX
CXorf61	chrX
CXorf64	chrX
CXXC5	chr5
CYB5R4	chr6
CYBA	chr16
CYHR1	chr8
CYP1A1	chr15
CYP27B1	chr12
CYP27C1	chr2
CYP2C19	chr10
CYP2C9	chr10
CYP2E1	chr10
CYP3A7	chr7
CYP4F12	chr19
CYP4F22	chr19
CYSLTR1	chrX
DAG1	chr3
DAGLB	chr7
DAND5	chr19
DAO	chr12
DAW1	chr2
DBF4B	chr17
DBH	chr9
DCAF13	chr8
DCAF4L1	chr4
DCAF8L2	chrX
DCLK3	chr3
DCSTAMP	chr8
DCTN4	chr5
DCUN1D4	chr4
DCX	chrX
DDR1	chr6
DDX10	chr11
DDX17	chr22
DDX25	chr11
DDX31	chr9
DDX43	chr6
DDX46	chr5
DDX52	chr17
DDX53	chrX
DDX55	chr12
DDX56	chr7
DECR1	chr8
DEDD2	chr19
DEFB112	chr6
DEFB116	chr20
DEFB118	chr20
DEK	chr6
DENND1B	chr1
DENND2C	chr1
DENND3	chr8
DEPTOR	chr8
DES	chr2
DGAT2L6	chrX
DGCR2	chr22
DHODH	chr16
DHRS13	chr17
DHRS4	chr14
DHRS9	chr2
DHTKD1	chr10
DHX36	chr3
DHX37	chr12
DHX58	chr17
DIAPH2	chrX
DICER1	chr14
DIO2	chr14
DIO3	chr14
DIRC1	chr2
DIS3L	chr15
DKC1	chrX
DKFZP667F0711	chr10
DLEC1	chr3
DLG1	chr3
DLGAP5	chr14
DLL4	chr15
DMAP1	chr1
DMRTB1	chr1
DMTF1	chr7
DNA2	chr10
DNAAF1	chr16
DNAI2	chr17
DNAJB1	chr19
DNAJB6	chr7
DNAJC17	chr15
DNAJC18	chr5
DNAJC2	chr7
DNAJC25	chr9
DNASE1L1	chrX
DNASE1L3	chr3
DNMT3L	chr21
DOLK	chr9
DONSON	chr21
DPF1	chr19
DPH1	chr17
DPM1	chr20
DPP9	chr19
DPYSL5	chr2
DQX1	chr2
DRD3	chr3
DRG1	chr22
DSCAML1	chr11
DSCC1	chr8
DSTN	chr20
DSTYK	chr1
DTHD1	chr4
DTL	chr1
DUPD1	chr10
DUS2	chr16
DUS3L	chr19
DUS4L	chr7
DUSP11	chr2
DUSP16	chr12
DUSP7	chr3
DVL1	chr1
DYDC1	chr10
DYNAP	chr18
DZIP1L	chr3
E2F1	chr20
E2F5	chr8
E2F6	chr2
EAF2	chr3
EARS2	chr16
EBF2	chr8
EBLN1	chr10
ECHS1	chr10
ECI1	chr16
ECM1	chr1
ECT2	chr3
ECT2L	chr6
EDA	chrX
EDDM3B	chr14
EDIL3	chr5
EDN1	chr6
EDNRB	chr13
EEA1	chr12
EEF1A1	chr6
EEF2	chr19
EEFSEC	chr3
EEPD1	chr7
EFCAB12	chr3
EFCAB13	chr17
EFCAB14	chr1
EFCC1	chr3
EFTUD2	chr17
EGFL6	chrX
EHBP1L1	chr11
EHHADH	chr3
EHMT1	chr9
EIF1AD	chr11
EIF1AX	chrX
EIF2A	chr3
